,Name,Gender,Age,Nationality,Years_Active,Genre_Niche,Beauty_Level,Skills,Education,Award_Wins,Media_Mentions,Social_Media_Followers,Social_Media_Likes,Network_Size,MBTI_Personality,Income_Per_Year,First_Name,Last_Name,Genre_Niche_1,Genre_Niche_2,Skill_1,Skill_2,Skill_3
101,Liam Lee,Male,28,Korean,5,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,700000.0,35000.0,4.0,ISFP,150000,Liam, Lee,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
102,Emma Hernandez,Female,31,Spanish,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Emma, Hernandez,Music,,Singing, Songwriting, Music Production
103,Noah Kim,Male,30,Korean,8,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1100000.0,65000.0,5.0,INTP,250000,Noah, Kim,Fashion & Lifestyle,,Fashion Styling, Fashion Photography, Fashion Blogging
104,Mia Martinez,Female,26,Spanish,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,ESFP,150000,Mia, Martinez,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Vlogging
106,Avery Garcia,Female,33,American,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENTJ,220000,Avery, Garcia,Comedy,,Stand-up Comedy, Improvisation, Writing
150,Isabella Martinez,Female,28,Spanish,6,Fashion & Beauty,8,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,450.0,950000.0,50000.0,4.0,ISFJ,180000,Isabella, Martinez,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
151,Nathan Johnson,Male,33,American,7,Technology,9,"Software Engineering, Artificial Intelligence, Data Science",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Nathan, Johnson,Technology,,Software Engineering, Artificial Intelligence, Data Science
152,Sophie Kim,Female,30,Korean,8,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,3.0,500.0,1000000.0,60000.0,5.0,INFJ,220000,Sophie, Kim,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
153,Daniel Rodriguez,Male,35,Mexican,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4.0,550.0,1100000.0,65000.0,5.0,ESTJ,280000,Daniel, Rodriguez,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
154,Olivia Nguyen,Female,29,Vietnamese,6,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,ENTP,200000,Olivia, Nguyen,Travel & Adventure,,Travel Photography, Blogging, Adventure Sports
155,Ethan Lee,Male,28,Korean,5,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,700000.0,35000.0,4.0,ISFP,150000,Ethan, Lee,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
156,Chloe Smith,Female,31,American,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Chloe, Smith,Music,,Singing, Songwriting, Music Production
157,Matthew Nguyen,Male,30,Vietnamese,8,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1100000.0,65000.0,5.0,INTP,250000,Matthew, Nguyen,Fashion & Lifestyle,,Fashion Styling, Fashion Photography, Fashion Blogging
158,Emma Garcia,Female,26,Spanish,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,ESFP,150000,Emma, Garcia,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Vlogging
159,Lucas Nguyen,Male,32,Vietnamese,9,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4.0,600.0,1300000.0,75000.0,5.0,ISTJ,300000,Lucas, Nguyen,Photography & Travel,,Photography, Videography, Travel Writing
160,Sophia Brown,Female,33,American,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENTJ,220000,Sophia, Brown,Comedy,,Stand-up Comedy, Improvisation, Writing
161,William Kim,Male,29,Korean,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2.0,400.0,900000.0,45000.0,4.0,INFP,200000,William, Kim,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
162,Ella Hernandez,Female,27,Spanish,5,Fashion & Lifestyle,7,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,2.0,350.0,800000.0,40000.0,4.0,ESFJ,150000,Ella, Hernandez,Fashion & Lifestyle,,Fashion Design, Modeling, Fashion Blogging
163,Alexander Rodriguez,Male,35,Mexican,10,Technology,9,"Programming, Web Development, Cybersecurity",Master's Degree in Computer Engineering,5.0,700.0,1400000.0,80000.0,6.0,INTJ,350000,Alexander, Rodriguez,Technology,,Programming, Web Development, Cybersecurity
164,Sophia Smith,Female,28,American,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISFP,180000,Sophia, Smith,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
165,Ethan Martinez,Male,34,Mexican,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Photography",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ENTJ,250000,Ethan, Martinez,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Photography
166,Ava Lopez,Female,29,Spanish,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Blogging",Culinary School,3.0,450.0,950000.0,50000.0,4.0,ENFJ,220000,Ava, Lopez,Food & Cooking,,Culinary Skills, Recipe Development, Food Blogging
167,Noah Kim,Male,32,Korean,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,850000.0,45000.0,4.0,INTP,200000,Noah, Kim,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
168,Sophia Nguyen,Female,30,Vietnamese,8,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3.0,500.0,1100000.0,65000.0,5.0,ISFJ,230000,Sophia, Nguyen,Parenting & Family,,Parenting Tips, Child Psychology, Family Vlogging
169,James Lee,Male,28,Korean,5,Lifestyle & Wellness,8,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2.0,400.0,850000.0,45000.0,4.0,ISTP,180000,James, Lee,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
171,Logan Martinez,Male,30,Mexican,6,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Logan, Martinez,Technology,,Software Engineering, Data Science, Artificial Intelligence
172,Ava Kim,Female,29,Korean,6,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,ENFP,150000,Ava, Kim,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Blogging
173,Noah Rodriguez,Male,33,Mexican,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ESTJ,220000,Noah, Rodriguez,Comedy,,Stand-up Comedy, Improvisation, Writing
184,Amara Patel,Female,29,Indian,6,Fashion & Beauty,8,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,450.0,950000.0,50000.0,4.0,ISFJ,180000,Amara, Patel,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
185,Rohan Gupta,Male,33,Indian,7,Technology,9,"Software Engineering, Artificial Intelligence, Data Science",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Rohan, Gupta,Technology,,Software Engineering, Artificial Intelligence, Data Science
186,Leila Ahmed,Female,30,Egyptian,8,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,3.0,500.0,1000000.0,60000.0,5.0,INFJ,220000,Leila, Ahmed,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
187,Ali Khan,Male,35,Pakistani,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4.0,550.0,1100000.0,65000.0,5.0,ESTJ,280000,Ali, Khan,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
188,Neha Patel,Female,29,Indian,6,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,ENTP,200000,Neha, Patel,Travel & Adventure,,Travel Photography, Blogging, Adventure Sports
189,Vikram Sharma,Male,28,Indian,5,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,700000.0,35000.0,4.0,ISFP,150000,Vikram, Sharma,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
190,Aisha Khan,Female,31,Pakistani,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Aisha, Khan,Music,,Singing, Songwriting, Music Production
191,Kabir Singh,Male,30,Indian,8,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1100000.0,65000.0,5.0,INTP,250000,Kabir, Singh,Fashion & Lifestyle,,Fashion Styling, Fashion Photography, Fashion Blogging
192,Zara Ali,Female,26,Pakistani,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,ESFP,150000,Zara, Ali,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Vlogging
193,Arjun Reddy,Male,32,Indian,9,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4.0,600.0,1300000.0,75000.0,5.0,ISTJ,300000,Arjun, Reddy,Photography & Travel,,Photography, Videography, Travel Writing
194,Priya Singh,Female,33,Indian,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENTJ,220000,Priya, Singh,Comedy,,Stand-up Comedy, Improvisation, Writing
195,Raj Patel,Male,29,Indian,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2.0,400.0,900000.0,45000.0,4.0,INFP,200000,Raj, Patel,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
196,Anaya Khan,Female,27,Pakistani,5,Fashion & Lifestyle,7,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,2.0,350.0,800000.0,40000.0,4.0,ESFJ,150000,Anaya, Khan,Fashion & Lifestyle,,Fashion Design, Modeling, Fashion Blogging
197,Aryan Patel,Male,34,Indian,8,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Aryan, Patel,Technology,,Software Engineering, Data Science, Artificial Intelligence
198,Meera Reddy,Female,28,Indian,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISFP,180000,Meera, Reddy,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
199,Fatima Ahmed,Female,29,Egyptian,7,Fashion & Beauty,8,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ENFJ,230000,Fatima, Ahmed,Fashion & Beauty,,Fashion Design, Makeup Artistry, Fashion Blogging
200,Ravi Sharma,Male,32,Indian,7,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Blogging",Culinary School,3.0,450.0,950000.0,50000.0,4.0,INFJ,220000,Ravi, Sharma,Food & Cooking,,Culinary Skills, Recipe Development, Food Blogging
201,Sanya Khan,Female,28,Pakistani,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,3.0,550.0,1200000.0,70000.0,5.0,ESFP,280000,Sanya, Khan,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
202,Vishal Singh,Male,30,Indian,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3.0,500.0,1100000.0,65000.0,5.0,ISTJ,250000,Vishal, Singh,Parenting & Family,,Parenting Tips, Child Psychology, Family Vlogging
203,Alisha Patel,Female,26,Indian,5,Lifestyle & Wellness,8,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2.0,400.0,850000.0,45000.0,4.0,ESFJ,200000,Alisha, Patel,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
204,Sanjay Reddy,Male,35,Indian,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENTJ,220000,Sanjay, Reddy,Comedy,,Stand-up Comedy, Improvisation, Writing
205,Zoya Khan,Female,29,Pakistani,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3.0,450.0,950000.0,50000.0,4.0,ENFP,220000,Zoya, Khan,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
206,Rahul Patel,Male,31,Indian,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,850000.0,45000.0,4.0,INTP,200000,Rahul, Patel,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
207,Anaya Reddy,Female,30,Indian,8,Technology,9,"Software Engineering, Data Science, Machine Learning",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Anaya, Reddy,Technology,,Software Engineering, Data Science, Machine Learning
208,Aman Singh,Male,29,Indian,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2.0,400.0,900000.0,45000.0,4.0,INFP,200000,Aman, Singh,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
209,Neha Patel,Female,33,Indian,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Photography",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ENTP,250000,Neha, Patel,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Photography
210,Arjun Khan,Male,30,Pakistani,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ESFP,280000,Arjun, Khan,Music,,Singing, Songwriting, Music Production
211,Sofia Ahmed,Female,27,Egyptian,6,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,INFJ,150000,Sofia, Ahmed,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Blogging
212,Rohan Sharma,Male,34,Indian,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ESTJ,220000,Rohan, Sharma,Comedy,,Stand-up Comedy, Improvisation, Writing
213,Anika Patel,Female,29,Indian,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3.0,450.0,950000.0,50000.0,4.0,ENFJ,220000,Anika, Patel,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
214,Raj Gupta,Male,30,Indian,7,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,INTP,200000,Raj, Gupta,Travel & Adventure,,Travel Photography, Blogging, Adventure Sports
215,Ayesha Khan,Female,28,Pakistani,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Ayesha, Khan,Music,,Singing, Songwriting, Music Production
216,Vikram Patel,Male,35,Indian,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ISTJ,250000,Vikram, Patel,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
217,Sana Khan,Female,30,Pakistani,7,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3.0,550.0,1200000.0,70000.0,5.0,ESFP,280000,Sana, Khan,Technology,,Software Engineering, Data Science, Artificial Intelligence
218,Arun Sharma,Male,29,Indian,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISTP,180000,Arun, Sharma,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
219,Meera Khan,Female,32,Pakistani,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENFJ,220000,Meera, Khan,Comedy,,Stand-up Comedy, Improvisation, Writing
220,Vivek Patel,Male,30,Indian,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Blogging",Culinary School,3.0,450.0,950000.0,50000.0,4.0,INFJ,220000,Vivek, Patel,Food & Cooking,,Culinary Skills, Recipe Development, Food Blogging
221,Ananya Reddy,Female,28,Indian,5,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,850000.0,45000.0,4.0,ISTP,180000,Ananya, Reddy,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
222,Rajesh Kumar,Male,33,Indian,8,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,3.0,500.0,1000000.0,60000.0,5.0,ESTJ,250000,Rajesh, Kumar,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
223,Sara Patel,Female,29,Indian,6,Fashion & Beauty,8,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ENTP,250000,Sara, Patel,Fashion & Beauty,,Fashion Design, Makeup Artistry, Fashion Blogging
224,Aditya Singh,Male,30,Indian,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ESFP,280000,Aditya, Singh,Music,,Singing, Songwriting, Music Production
225,Anushka Khan,Female,27,Pakistani,6,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,INFJ,150000,Anushka, Khan,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Blogging
226,Rahul Sharma,Male,34,Indian,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ESTJ,220000,Rahul, Sharma,Comedy,,Stand-up Comedy, Improvisation, Writing
227,Aarti Patel,Female,29,Indian,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3.0,450.0,950000.0,50000.0,4.0,ENFJ,220000,Aarti, Patel,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
228,Vikas Gupta,Male,30,Indian,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,INTP,200000,Vikas, Gupta,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
229,Sonia Khan,Female,28,Pakistani,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Sonia, Khan,Music,,Singing, Songwriting, Music Production
230,Rohit Sharma,Male,35,Indian,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ISTJ,250000,Rohit, Sharma,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
231,Laila Hassan,Female,29,Egyptian,6,Fashion & Beauty,8,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,450.0,950000.0,50000.0,4.0,ISFJ,180000,Laila, Hassan,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
232,Khalid Mahmoud,Male,33,Egyptian,7,Technology,9,"Software Engineering, Artificial Intelligence, Data Science",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Khalid, Mahmoud,Technology,,Software Engineering, Artificial Intelligence, Data Science
233,Nina Petrov,Female,30,Russian,8,Lifestyle & Wellness,7,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,3.0,500.0,1000000.0,60000.0,5.0,INFJ,220000,Nina, Petrov,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
234,Dmitri Ivanov,Male,35,Russian,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4.0,550.0,1100000.0,65000.0,5.0,ESTJ,280000,Dmitri, Ivanov,Food & Cooking,,Culinary Skills, Recipe Development, Food Styling
235,Sofia Petrova,Female,29,Russian,6,Travel & Adventure,7,"Travel Photography, Blogging, Adventure Sports",Bachelor's Degree in Tourism,2.0,400.0,850000.0,45000.0,4.0,ENTP,200000,Sofia, Petrova,Travel & Adventure,,Travel Photography, Blogging, Adventure Sports
236,Alexei Popov,Male,28,Russian,5,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,700000.0,35000.0,4.0,ISFP,150000,Alexei, Popov,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
237,Nadia Ivanova,Female,31,Russian,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Nadia, Ivanova,Music,,Singing, Songwriting, Music Production
238,Vladimir Sokolov,Male,30,Russian,8,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1100000.0,65000.0,5.0,INTP,250000,Vladimir, Sokolov,Fashion & Lifestyle,,Fashion Styling, Fashion Photography, Fashion Blogging
239,Anastasia Volkova,Female,26,Russian,5,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2.0,350.0,800000.0,40000.0,4.0,ESFP,150000,Anastasia, Volkova,Beauty & Makeup,,Makeup Artistry, Skincare, Beauty Vlogging
240,Nikolai Fedorov,Male,32,Russian,9,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4.0,600.0,1300000.0,75000.0,5.0,ISTJ,300000,Nikolai, Fedorov,Photography & Travel,,Photography, Videography, Travel Writing
241,Daria Petrov,Female,33,Russian,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENTJ,220000,Daria, Petrov,Comedy,,Stand-up Comedy, Improvisation, Writing
242,Sergei Ivanov,Male,29,Russian,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,2.0,400.0,900000.0,45000.0,4.0,INFP,200000,Sergei, Ivanov,Fitness & Nutrition,,Personal Training, Nutrition Coaching, Fitness Modeling
243,Ekaterina Smirnova,Female,27,Russian,5,Fashion & Lifestyle,7,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,2.0,350.0,800000.0,40000.0,4.0,ESFJ,150000,Ekaterina, Smirnova,Fashion & Lifestyle,,Fashion Design, Modeling, Fashion Blogging
244,Ivan Volkov,Male,34,Russian,8,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4.0,600.0,1200000.0,70000.0,5.0,INTJ,250000,Ivan, Volkov,Technology,,Software Engineering, Data Science, Artificial Intelligence
245,Olga Romanova,Female,28,Russian,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISFP,180000,Olga, Romanova,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
246,Andrei Ivanov,Male,30,Russian,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Andrei, Ivanov,Music,,Singing, Songwriting, Music Production
247,Natalia Petrova,Female,29,Russian,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Blogging",Culinary School,3.0,450.0,950000.0,50000.0,4.0,ENFJ,220000,Natalia, Petrova,Food & Cooking,,Culinary Skills, Recipe Development, Food Blogging
248,Mikhail Ivanov,Male,32,Russian,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2.0,400.0,850000.0,45000.0,4.0,INTP,200000,Mikhail, Ivanov,Travel & Adventure,,Travel Writing, Photography, Adventure Sports
249,Maria Ivanova,Female,30,Russian,8,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3.0,500.0,1100000.0,65000.0,5.0,ISFJ,230000,Maria, Ivanova,Parenting & Family,,Parenting Tips, Child Psychology, Family Vlogging
250,Sergei Petrov,Male,28,Russian,5,Lifestyle & Wellness,8,"Yoga, Meditation, Holistic Health",Bachelor's Degree in Psychology,2.0,400.0,850000.0,45000.0,4.0,ISTP,180000,Sergei, Petrov,Lifestyle & Wellness,,Yoga, Meditation, Holistic Health
251,Ekaterina Ivanova,Female,31,Russian,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3.0,500.0,1000000.0,60000.0,5.0,ENFP,230000,Ekaterina, Ivanova,Music,,Singing, Songwriting, Music Production
252,Nikolai Ivanov,Male,35,Russian,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3.0,500.0,1000000.0,60000.0,5.0,ISTJ,250000,Nikolai, Ivanov,Fashion & Beauty,,Fashion Styling, Makeup Artistry, Fashion Blogging
253,Natalia Smirnova,Female,30,Russian,7,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3.0,550.0,1200000.0,70000.0,5.0,ESFP,280000,Natalia, Smirnova,Technology,,Software Engineering, Data Science, Artificial Intelligence
254,Andrei Volkov,Male,29,Russian,6,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2.0,300.0,750000.0,35000.0,4.0,ISTP,180000,Andrei, Volkov,Gaming & Esports,,Gaming Skills, Strategy, Esports Commentary
255,Yulia Ivanova,Female,32,Russian,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3.0,450.0,950000.0,50000.0,4.0,ENFJ,220000,Yulia, Ivanova,Comedy,,Stand-up Comedy, Improvisation, Writing
